import time: self [us] | cumulative | imported package
import time:      1680 |       1680 |                                   select
import time:       811 |       2491 |                                 selectors
import time:       609 |       3100 |                               asyncio.selector_events
import time:       415 |        415 |                               asyncio.windows_utils
import time:       691 |      11181 |                             asyncio.windows_events
import time:       662 |      30983 |                           asyncio
import time:       481 |        481 |                           joblib.func_inspect
import time:       547 |      32010 |                         joblib.memory
import time:       554 |        554 |                         joblib.parallel
import time:       634 |     123750 |                       joblib
import time:       431 |        431 |                               narwhals._exceptions
import time:       631 |       1061 |                             narwhals.dependencies
import time:       404 |        404 |                                 narwhals._enum
import time:       337 |        337 |                                 narwhals._typing_compat
import time:       465 |        465 |                                 narwhals.exceptions
